,entity_1,entity_2,weight
0,Central General Staff,Acacio Medina Front,0
1,Central General Staff,Las Claritas Sindicato,0
2,Central General Staff,Carlos Capa Gang,0
3,Central General Staff,The R Organization,0
4,Central General Staff,Tren de Guayana,0
5,Central General Staff,Lobos,0
6,Central General Staff,10th Front,0
7,Central General Staff,Pachenca,0
8,Central General Staff,Bala na Cara,0
9,Central General Staff,Border Command,0
10,Central General Staff,Lagartos,0
11,Central General Staff,Cárteles Unidos,0
12,Central General Staff,Shining Path,0
13,Central General Staff,Sinaloa Cartel,0
14,Central General Staff,Bagdad,0
15,Central General Staff,Libertadores del Vichada,0
16,Central General Staff,EPL,0
17,Central General Staff,Choneros,0
18,Central General Staff,Escritório do Crime,0
19,Central General Staff,Border Security Colectivo,0
20,Central General Staff,Cartel of the Suns,0
21,Central General Staff,The Meleán,0
22,Central General Staff,Fuerza Anti-Unión,0
23,Central General Staff,La Unión Tepito,0
24,Central General Staff,Rotela Clan,0
25,Central General Staff,Second Marquetalia,0
26,Central General Staff,Chapitos,0
27,Central General Staff,Tren de Aragua,0
28,Central General Staff,Family of the North,0
29,Central General Staff,Monos,0
30,Central General Staff,Caparros,0
31,Central General Staff,Jalisco Cartel New Generation,0
32,Central General Staff,Amigos dos Amigos,0
33,Central General Staff,1st Front,0
34,Central General Staff,Knights Templar,0
35,Central General Staff,Juarez Cartel,0
36,Central General Staff,Tijuana Cartel,0
37,Central General Staff,Gulf Cartel,0
38,Central General Staff,Familia Michoacana,0
39,Central General Staff,Cachiros,0
40,Central General Staff,Perrones Cartel,0
41,Central General Staff,Barrio 18,0
42,Central General Staff,Texis Cartel,0
43,Central General Staff,MS13,0
44,Central General Staff,FARC,0
45,Central General Staff,Rastrojos,0
46,Central General Staff,ELN,0
47,Central General Staff,Norte del Valle Cartel,0
48,Central General Staff,Red Command,0
49,Central General Staff,First Capital Command,0
50,Central General Staff,Tren del Llano,0
51,Central General Staff,Atlantic Cartel,0
52,Central General Staff,Calor Calor,0
53,Central General Staff,Guerreros Unidos,0
54,Central General Staff,Pure Third Command,0
55,Central General Staff,Valles,0
56,Central General Staff,Beltrán Leyva Organization,0
57,Central General Staff,EPR,0
58,Central General Staff,Juárez Cartel,0
59,Central General Staff,Gulf Clan,0
60,Central General Staff,Barrio Azteca,0
61,Central General Staff,FBL,0
62,Central General Staff,Tarzanes,0
63,Central General Staff,Reñazcos,0
64,Central General Staff,Zetas,0
65,Central General Staff,Perrones,0
66,Central General Staff,Autodefensas Unidas de Colombia,0
67,Central General Staff,Mendozas,0
68,Central General Staff,Leones,0
69,Central General Staff,Lorenzanas,0
70,Central General Staff,Águilas Negras,0
71,Central General Staff,Paisas,0
72,Central General Staff,Oficina de Envigado,0
73,Central General Staff,CIACS,0
74,Central General Staff,ERPAC,0
75,Acacio Medina Front,Las Claritas Sindicato,1
76,Acacio Medina Front,Carlos Capa Gang,0
77,Acacio Medina Front,The R Organization,1
78,Acacio Medina Front,Tren de Guayana,1
79,Acacio Medina Front,Lobos,0
80,Acacio Medina Front,10th Front,1
81,Acacio Medina Front,Pachenca,0
82,Acacio Medina Front,Bala na Cara,0
83,Acacio Medina Front,Border Command,0
84,Acacio Medina Front,Lagartos,0
85,Acacio Medina Front,Cárteles Unidos,0
86,Acacio Medina Front,Shining Path,0
87,Acacio Medina Front,Sinaloa Cartel,0
88,Acacio Medina Front,Bagdad,0
89,Acacio Medina Front,Libertadores del Vichada,0
90,Acacio Medina Front,EPL,0
91,Acacio Medina Front,Choneros,0
92,Acacio Medina Front,Escritório do Crime,0
93,Acacio Medina Front,Border Security Colectivo,1
94,Acacio Medina Front,Cartel of the Suns,0
95,Acacio Medina Front,The Meleán,0
96,Acacio Medina Front,Fuerza Anti-Unión,0
97,Acacio Medina Front,La Unión Tepito,0
98,Acacio Medina Front,Rotela Clan,0
99,Acacio Medina Front,Second Marquetalia,1
100,Acacio Medina Front,Chapitos,0
101,Acacio Medina Front,Tren de Aragua,2
102,Acacio Medina Front,Family of the North,0
103,Acacio Medina Front,Monos,0
104,Acacio Medina Front,Caparros,0
105,Acacio Medina Front,Jalisco Cartel New Generation,0
106,Acacio Medina Front,Amigos dos Amigos,0
107,Acacio Medina Front,1st Front,1
108,Acacio Medina Front,Knights Templar,0
109,Acacio Medina Front,Juarez Cartel,0
110,Acacio Medina Front,Tijuana Cartel,0
111,Acacio Medina Front,Gulf Cartel,0
112,Acacio Medina Front,Familia Michoacana,0
113,Acacio Medina Front,Cachiros,0
114,Acacio Medina Front,Perrones Cartel,0
115,Acacio Medina Front,Barrio 18,0
116,Acacio Medina Front,Texis Cartel,0
117,Acacio Medina Front,MS13,0
118,Acacio Medina Front,FARC,5
119,Acacio Medina Front,Rastrojos,1
120,Acacio Medina Front,ELN,5
121,Acacio Medina Front,Norte del Valle Cartel,0
122,Acacio Medina Front,Red Command,0
123,Acacio Medina Front,First Capital Command,0
124,Acacio Medina Front,Tren del Llano,0
125,Acacio Medina Front,Atlantic Cartel,0
126,Acacio Medina Front,Calor Calor,0
127,Acacio Medina Front,Guerreros Unidos,0
128,Acacio Medina Front,Pure Third Command,0
129,Acacio Medina Front,Valles,1
130,Acacio Medina Front,Beltrán Leyva Organization,0
131,Acacio Medina Front,EPR,0
132,Acacio Medina Front,Juárez Cartel,0
133,Acacio Medina Front,Gulf Clan,0
134,Acacio Medina Front,Barrio Azteca,0
135,Acacio Medina Front,FBL,1
136,Acacio Medina Front,Tarzanes,0
137,Acacio Medina Front,Reñazcos,0
138,Acacio Medina Front,Zetas,0
139,Acacio Medina Front,Perrones,0
140,Acacio Medina Front,Autodefensas Unidas de Colombia,0
141,Acacio Medina Front,Mendozas,0
142,Acacio Medina Front,Leones,0
143,Acacio Medina Front,Lorenzanas,0
144,Acacio Medina Front,Águilas Negras,0
145,Acacio Medina Front,Paisas,0
146,Acacio Medina Front,Oficina de Envigado,0
147,Acacio Medina Front,CIACS,0
148,Acacio Medina Front,ERPAC,0
149,Las Claritas Sindicato,Carlos Capa Gang,0
150,Las Claritas Sindicato,The R Organization,1
151,Las Claritas Sindicato,Tren de Guayana,1
152,Las Claritas Sindicato,Lobos,0
153,Las Claritas Sindicato,10th Front,0
154,Las Claritas Sindicato,Pachenca,0
155,Las Claritas Sindicato,Bala na Cara,0
156,Las Claritas Sindicato,Border Command,0
157,Las Claritas Sindicato,Lagartos,0
158,Las Claritas Sindicato,Cárteles Unidos,0
159,Las Claritas Sindicato,Shining Path,0
160,Las Claritas Sindicato,Sinaloa Cartel,0
161,Las Claritas Sindicato,Bagdad,0
162,Las Claritas Sindicato,Libertadores del Vichada,0
163,Las Claritas Sindicato,EPL,0
164,Las Claritas Sindicato,Choneros,0
165,Las Claritas Sindicato,Escritório do Crime,0
166,Las Claritas Sindicato,Border Security Colectivo,0
167,Las Claritas Sindicato,Cartel of the Suns,0
168,Las Claritas Sindicato,The Meleán,0
169,Las Claritas Sindicato,Fuerza Anti-Unión,0
170,Las Claritas Sindicato,La Unión Tepito,0
171,Las Claritas Sindicato,Rotela Clan,0
172,Las Claritas Sindicato,Second Marquetalia,0
173,Las Claritas Sindicato,Chapitos,0
174,Las Claritas Sindicato,Tren de Aragua,1
175,Las Claritas Sindicato,Family of the North,0
176,Las Claritas Sindicato,Monos,0
177,Las Claritas Sindicato,Caparros,0
178,Las Claritas Sindicato,Jalisco Cartel New Generation,0
179,Las Claritas Sindicato,Amigos dos Amigos,0
180,Las Claritas Sindicato,1st Front,0
181,Las Claritas Sindicato,Knights Templar,0
182,Las Claritas Sindicato,Juarez Cartel,0
183,Las Claritas Sindicato,Tijuana Cartel,0
184,Las Claritas Sindicato,Gulf Cartel,0
185,Las Claritas Sindicato,Familia Michoacana,0
186,Las Claritas Sindicato,Cachiros,0
187,Las Claritas Sindicato,Perrones Cartel,0
188,Las Claritas Sindicato,Barrio 18,0
189,Las Claritas Sindicato,Texis Cartel,0
190,Las Claritas Sindicato,MS13,0
191,Las Claritas Sindicato,FARC,1
192,Las Claritas Sindicato,Rastrojos,0
193,Las Claritas Sindicato,ELN,1
194,Las Claritas Sindicato,Norte del Valle Cartel,0
195,Las Claritas Sindicato,Red Command,0
196,Las Claritas Sindicato,First Capital Command,0
197,Las Claritas Sindicato,Tren del Llano,0
198,Las Claritas Sindicato,Atlantic Cartel,0
199,Las Claritas Sindicato,Calor Calor,0
200,Las Claritas Sindicato,Guerreros Unidos,0
201,Las Claritas Sindicato,Pure Third Command,0
202,Las Claritas Sindicato,Valles,1
203,Las Claritas Sindicato,Beltrán Leyva Organization,0
204,Las Claritas Sindicato,EPR,0
205,Las Claritas Sindicato,Juárez Cartel,0
206,Las Claritas Sindicato,Gulf Clan,0
207,Las Claritas Sindicato,Barrio Azteca,0
208,Las Claritas Sindicato,FBL,1
209,Las Claritas Sindicato,Tarzanes,0
210,Las Claritas Sindicato,Reñazcos,0
211,Las Claritas Sindicato,Zetas,0
212,Las Claritas Sindicato,Perrones,0
213,Las Claritas Sindicato,Autodefensas Unidas de Colombia,0
214,Las Claritas Sindicato,Mendozas,0
215,Las Claritas Sindicato,Leones,0
216,Las Claritas Sindicato,Lorenzanas,0
217,Las Claritas Sindicato,Águilas Negras,0
218,Las Claritas Sindicato,Paisas,0
219,Las Claritas Sindicato,Oficina de Envigado,0
220,Las Claritas Sindicato,CIACS,0
221,Las Claritas Sindicato,ERPAC,0
222,Carlos Capa Gang,The R Organization,0
223,Carlos Capa Gang,Tren de Guayana,0
224,Carlos Capa Gang,Lobos,0
225,Carlos Capa Gang,10th Front,0
226,Carlos Capa Gang,Pachenca,0
227,Carlos Capa Gang,Bala na Cara,0
228,Carlos Capa Gang,Border Command,0
229,Carlos Capa Gang,Lagartos,0
230,Carlos Capa Gang,Cárteles Unidos,0
231,Carlos Capa Gang,Shining Path,0
232,Carlos Capa Gang,Sinaloa Cartel,0
233,Carlos Capa Gang,Bagdad,0
234,Carlos Capa Gang,Libertadores del Vichada,0
235,Carlos Capa Gang,EPL,0
236,Carlos Capa Gang,Choneros,0
237,Carlos Capa Gang,Escritório do Crime,0
238,Carlos Capa Gang,Border Security Colectivo,0
239,Carlos Capa Gang,Cartel of the Suns,0
240,Carlos Capa Gang,The Meleán,0
241,Carlos Capa Gang,Fuerza Anti-Unión,0
242,Carlos Capa Gang,La Unión Tepito,0
243,Carlos Capa Gang,Rotela Clan,0
244,Carlos Capa Gang,Second Marquetalia,0
245,Carlos Capa Gang,Chapitos,0
246,Carlos Capa Gang,Tren de Aragua,0
247,Carlos Capa Gang,Family of the North,0
248,Carlos Capa Gang,Monos,0
249,Carlos Capa Gang,Caparros,0
250,Carlos Capa Gang,Jalisco Cartel New Generation,0
251,Carlos Capa Gang,Amigos dos Amigos,0
252,Carlos Capa Gang,1st Front,0
253,Carlos Capa Gang,Knights Templar,0
254,Carlos Capa Gang,Juarez Cartel,0
255,Carlos Capa Gang,Tijuana Cartel,0
256,Carlos Capa Gang,Gulf Cartel,0
257,Carlos Capa Gang,Familia Michoacana,0
258,Carlos Capa Gang,Cachiros,0
259,Carlos Capa Gang,Perrones Cartel,0
260,Carlos Capa Gang,Barrio 18,0
261,Carlos Capa Gang,Texis Cartel,0
262,Carlos Capa Gang,MS13,0
263,Carlos Capa Gang,FARC,0
264,Carlos Capa Gang,Rastrojos,0
265,Carlos Capa Gang,ELN,0
266,Carlos Capa Gang,Norte del Valle Cartel,0
267,Carlos Capa Gang,Red Command,0
268,Carlos Capa Gang,First Capital Command,0
269,Carlos Capa Gang,Tren del Llano,0
270,Carlos Capa Gang,Atlantic Cartel,0
271,Carlos Capa Gang,Calor Calor,0
272,Carlos Capa Gang,Guerreros Unidos,0
273,Carlos Capa Gang,Pure Third Command,0
274,Carlos Capa Gang,Valles,0
275,Carlos Capa Gang,Beltrán Leyva Organization,0
276,Carlos Capa Gang,EPR,0
277,Carlos Capa Gang,Juárez Cartel,0
278,Carlos Capa Gang,Gulf Clan,0
279,Carlos Capa Gang,Barrio Azteca,0
280,Carlos Capa Gang,FBL,0
281,Carlos Capa Gang,Tarzanes,0
282,Carlos Capa Gang,Reñazcos,0
283,Carlos Capa Gang,Zetas,0
284,Carlos Capa Gang,Perrones,0
285,Carlos Capa Gang,Autodefensas Unidas de Colombia,0
286,Carlos Capa Gang,Mendozas,0
287,Carlos Capa Gang,Leones,0
288,Carlos Capa Gang,Lorenzanas,0
289,Carlos Capa Gang,Águilas Negras,0
290,Carlos Capa Gang,Paisas,0
291,Carlos Capa Gang,Oficina de Envigado,0
292,Carlos Capa Gang,CIACS,0
293,Carlos Capa Gang,ERPAC,0
294,The R Organization,Tren de Guayana,1
295,The R Organization,Lobos,0
296,The R Organization,10th Front,0
297,The R Organization,Pachenca,0
298,The R Organization,Bala na Cara,0
299,The R Organization,Border Command,0
300,The R Organization,Lagartos,0
301,The R Organization,Cárteles Unidos,0
302,The R Organization,Shining Path,0
303,The R Organization,Sinaloa Cartel,0
304,The R Organization,Bagdad,0
305,The R Organization,Libertadores del Vichada,0
306,The R Organization,EPL,0
307,The R Organization,Choneros,0
308,The R Organization,Escritório do Crime,0
309,The R Organization,Border Security Colectivo,0
310,The R Organization,Cartel of the Suns,0
311,The R Organization,The Meleán,0
312,The R Organization,Fuerza Anti-Unión,0
313,The R Organization,La Unión Tepito,0
314,The R Organization,Rotela Clan,0
315,The R Organization,Second Marquetalia,0
316,The R Organization,Chapitos,0
317,The R Organization,Tren de Aragua,1
318,The R Organization,Family of the North,0
319,The R Organization,Monos,0
320,The R Organization,Caparros,0
321,The R Organization,Jalisco Cartel New Generation,0
322,The R Organization,Amigos dos Amigos,0
323,The R Organization,1st Front,0
324,The R Organization,Knights Templar,0
325,The R Organization,Juarez Cartel,0
326,The R Organization,Tijuana Cartel,0
327,The R Organization,Gulf Cartel,0
328,The R Organization,Familia Michoacana,0
329,The R Organization,Cachiros,0
330,The R Organization,Perrones Cartel,0
331,The R Organization,Barrio 18,0
332,The R Organization,Texis Cartel,0
333,The R Organization,MS13,0
334,The R Organization,FARC,1
335,The R Organization,Rastrojos,0
336,The R Organization,ELN,1
337,The R Organization,Norte del Valle Cartel,0
338,The R Organization,Red Command,0
339,The R Organization,First Capital Command,0
340,The R Organization,Tren del Llano,0
341,The R Organization,Atlantic Cartel,0
342,The R Organization,Calor Calor,0
343,The R Organization,Guerreros Unidos,0
344,The R Organization,Pure Third Command,0
345,The R Organization,Valles,1
346,The R Organization,Beltrán Leyva Organization,0
347,The R Organization,EPR,0
348,The R Organization,Juárez Cartel,0
349,The R Organization,Gulf Clan,0
350,The R Organization,Barrio Azteca,0
351,The R Organization,FBL,1
352,The R Organization,Tarzanes,0
353,The R Organization,Reñazcos,0
354,The R Organization,Zetas,0
355,The R Organization,Perrones,0
356,The R Organization,Autodefensas Unidas de Colombia,0
357,The R Organization,Mendozas,0
358,The R Organization,Leones,0
359,The R Organization,Lorenzanas,0
360,The R Organization,Águilas Negras,0
361,The R Organization,Paisas,0
362,The R Organization,Oficina de Envigado,0
363,The R Organization,CIACS,0
364,The R Organization,ERPAC,0
365,Tren de Guayana,Lobos,0
366,Tren de Guayana,10th Front,1
367,Tren de Guayana,Pachenca,0
368,Tren de Guayana,Bala na Cara,0
369,Tren de Guayana,Border Command,0
370,Tren de Guayana,Lagartos,0
371,Tren de Guayana,Cárteles Unidos,0
372,Tren de Guayana,Shining Path,0
373,Tren de Guayana,Sinaloa Cartel,0
374,Tren de Guayana,Bagdad,0
375,Tren de Guayana,Libertadores del Vichada,0
376,Tren de Guayana,EPL,0
377,Tren de Guayana,Choneros,0
378,Tren de Guayana,Escritório do Crime,0
379,Tren de Guayana,Border Security Colectivo,0
380,Tren de Guayana,Cartel of the Suns,0
381,Tren de Guayana,The Meleán,0
382,Tren de Guayana,Fuerza Anti-Unión,0
383,Tren de Guayana,La Unión Tepito,0
384,Tren de Guayana,Rotela Clan,0
385,Tren de Guayana,Second Marquetalia,0
386,Tren de Guayana,Chapitos,0
387,Tren de Guayana,Tren de Aragua,1
388,Tren de Guayana,Family of the North,0
389,Tren de Guayana,Monos,0
390,Tren de Guayana,Caparros,0
391,Tren de Guayana,Jalisco Cartel New Generation,0
392,Tren de Guayana,Amigos dos Amigos,0
393,Tren de Guayana,1st Front,0
394,Tren de Guayana,Knights Templar,0
395,Tren de Guayana,Juarez Cartel,0
396,Tren de Guayana,Tijuana Cartel,0
397,Tren de Guayana,Gulf Cartel,0
398,Tren de Guayana,Familia Michoacana,0
399,Tren de Guayana,Cachiros,0
400,Tren de Guayana,Perrones Cartel,0
401,Tren de Guayana,Barrio 18,0
402,Tren de Guayana,Texis Cartel,0
403,Tren de Guayana,MS13,0
404,Tren de Guayana,FARC,3
405,Tren de Guayana,Rastrojos,0
406,Tren de Guayana,ELN,1
407,Tren de Guayana,Norte del Valle Cartel,0
408,Tren de Guayana,Red Command,0
409,Tren de Guayana,First Capital Command,0
410,Tren de Guayana,Tren del Llano,0
411,Tren de Guayana,Atlantic Cartel,0
412,Tren de Guayana,Calor Calor,0
413,Tren de Guayana,Guerreros Unidos,0
414,Tren de Guayana,Pure Third Command,0
415,Tren de Guayana,Valles,1
416,Tren de Guayana,Beltrán Leyva Organization,0
417,Tren de Guayana,EPR,0
418,Tren de Guayana,Juárez Cartel,0
419,Tren de Guayana,Gulf Clan,0
420,Tren de Guayana,Barrio Azteca,0
421,Tren de Guayana,FBL,1
422,Tren de Guayana,Tarzanes,0
423,Tren de Guayana,Reñazcos,0
424,Tren de Guayana,Zetas,0
425,Tren de Guayana,Perrones,0
426,Tren de Guayana,Autodefensas Unidas de Colombia,0
427,Tren de Guayana,Mendozas,0
428,Tren de Guayana,Leones,0
429,Tren de Guayana,Lorenzanas,0
430,Tren de Guayana,Águilas Negras,0
431,Tren de Guayana,Paisas,0
432,Tren de Guayana,Oficina de Envigado,0
433,Tren de Guayana,CIACS,0
434,Tren de Guayana,ERPAC,0
435,Lobos,10th Front,0
436,Lobos,Pachenca,0
437,Lobos,Bala na Cara,0
438,Lobos,Border Command,1
439,Lobos,Lagartos,5
440,Lobos,Cárteles Unidos,0
441,Lobos,Shining Path,0
442,Lobos,Sinaloa Cartel,3
443,Lobos,Bagdad,0
444,Lobos,Libertadores del Vichada,0
445,Lobos,EPL,0
446,Lobos,Choneros,7
447,Lobos,Escritório do Crime,0
448,Lobos,Border Security Colectivo,0
449,Lobos,Cartel of the Suns,0
450,Lobos,The Meleán,0
451,Lobos,Fuerza Anti-Unión,0
452,Lobos,La Unión Tepito,0
453,Lobos,Rotela Clan,0
454,Lobos,Second Marquetalia,1
455,Lobos,Chapitos,0
456,Lobos,Tren de Aragua,0
457,Lobos,Family of the North,0
458,Lobos,Monos,0
459,Lobos,Caparros,0
460,Lobos,Jalisco Cartel New Generation,4
461,Lobos,Amigos dos Amigos,0
462,Lobos,1st Front,0
463,Lobos,Knights Templar,0
464,Lobos,Juarez Cartel,0
465,Lobos,Tijuana Cartel,0
466,Lobos,Gulf Cartel,0
467,Lobos,Familia Michoacana,0
468,Lobos,Cachiros,0
469,Lobos,Perrones Cartel,0
470,Lobos,Barrio 18,0
471,Lobos,Texis Cartel,0
472,Lobos,MS13,0
473,Lobos,FARC,3
474,Lobos,Rastrojos,0
475,Lobos,ELN,0
476,Lobos,Norte del Valle Cartel,0
477,Lobos,Red Command,0
478,Lobos,First Capital Command,0
479,Lobos,Tren del Llano,0
480,Lobos,Atlantic Cartel,0
481,Lobos,Calor Calor,0
482,Lobos,Guerreros Unidos,0
483,Lobos,Pure Third Command,0
484,Lobos,Valles,0
485,Lobos,Beltrán Leyva Organization,0
486,Lobos,EPR,0
487,Lobos,Juárez Cartel,0
488,Lobos,Gulf Clan,0
489,Lobos,Barrio Azteca,0
490,Lobos,FBL,0
491,Lobos,Tarzanes,0
492,Lobos,Reñazcos,0
493,Lobos,Zetas,0
494,Lobos,Perrones,0
495,Lobos,Autodefensas Unidas de Colombia,0
496,Lobos,Mendozas,0
497,Lobos,Leones,0
498,Lobos,Lorenzanas,0
499,Lobos,Águilas Negras,0
500,Lobos,Paisas,0
501,Lobos,Oficina de Envigado,0
502,Lobos,CIACS,0
503,Lobos,ERPAC,0
504,10th Front,Pachenca,0
505,10th Front,Bala na Cara,0
506,10th Front,Border Command,0
507,10th Front,Lagartos,0
508,10th Front,Cárteles Unidos,0
509,10th Front,Shining Path,0
510,10th Front,Sinaloa Cartel,0
511,10th Front,Bagdad,0
512,10th Front,Libertadores del Vichada,0
513,10th Front,EPL,0
514,10th Front,Choneros,0
515,10th Front,Escritório do Crime,0
516,10th Front,Border Security Colectivo,0
517,10th Front,Cartel of the Suns,0
518,10th Front,The Meleán,0
519,10th Front,Fuerza Anti-Unión,0
520,10th Front,La Unión Tepito,0
521,10th Front,Rotela Clan,0
522,10th Front,Second Marquetalia,2
523,10th Front,Chapitos,0
524,10th Front,Tren de Aragua,1
525,10th Front,Family of the North,0
526,10th Front,Monos,0
527,10th Front,Caparros,0
